title_id,genre_id,order
tt1170014,1,1
tt1170014,19,2
tt11708082,4,1
tt11716076,11,1
tt11716076,8,2
tt11716076,9,3
tt11724084,7,1
tt11732090,17,1
tt11732090,4,2
tt11732090,16,3
tt1174014,12,1
tt11748276,4,1
tt11748276,12,2
tt11756324,1,1
tt1176434,4,1
tt11772368,25,1
tt11788552,8,1
tt11796584,4,1
tt11796584,22,2
tt11796584,7,3
tt11804708,8,1
tt11812694,14,1
tt11820746,1,1
tt11820746,12,2
tt11828888,8,1
tt11828888,5,2
tt11836844,4,1
tt11844844,1,1
tt11852964,18,1
tt11852964,14,2
tt11852964,8,3
tt11860956,4,1
tt11868976,2,1
tt11877058,14,1
tt11877058,8,2
tt11877058,20,3
tt11885222,6,1
tt11893234,1,1
tt11901160,8,1
tt11901160,5,2
tt1190920,1,1
tt1191735,8,1
tt11925416,17,1
tt11925416,4,2
tt11925416,8,3
tt11933356,25,1
tt11941378,4,1
tt11949326,8,1
tt11957464,28,1
tt11965682,4,1
tt11965682,8,2
tt11965682,5,3
tt11973748,4,1
tt11973748,7,2
tt11973748,25,3
tt11981782,6,1
tt11989764,18,1
tt11989764,17,2
tt11989764,14,3
tt1199792,4,1
tt12006370,8,1
tt12006370,5,2
tt1201488,27,1
tt1202295,6,1
tt12031236,5,1
tt12039642,4,1
tt12039642,8,2
tt12039642,16,3
tt12047600,8,1
tt12047600,2,2
tt12055622,18,1
tt12055622,17,2
tt12055622,3,3
tt1206370,8,1
tt1206370,5,2
tt12080700,4,1
tt1208878,4,1
tt1208878,8,2
tt1208878,5,3
tt12096734,18,1
tt12096734,17,2
tt12096734,3,3
tt1212106,1,1
tt1212106,2,2
tt12129242,28,1
tt1213745,4,1
tt12146130,14,1
tt12146130,1,2
tt12154386,9,1
tt12162664,4,1
tt12171132,1,1
tt12171132,7,2
tt12179230,8,1
tt12187454,4,1
tt12195594,5,1
tt1220401,16,1
tt1220401,26,2
tt1220401,27,3
tt12212454,1,1
tt12212454,27,2
tt12220858,20,1
tt12220858,2,2
tt12220858,23,3
tt12229456,18,1
tt12229456,14,2
tt12237926,14,1
tt12237926,8,2
tt12246032,12,1
tt12254076,26,1
tt12262492,1,1
tt12270670,8,1
tt12270670,9,2
tt12270670,10,3
tt12278870,8,1
tt12278870,5,2
tt12278870,2,3
tt12287014,25,1
tt12295046,1,1
tt12295046,6,2
tt12303036,25,1
tt1231102,4,1
tt12319254,1,1
tt12327354,27,1
tt12327354,25,2
tt1233526,28,1
tt12343328,28,1
tt12351540,1,1
tt12351540,19,2
tt12359858,8,1
tt12368002,28,1
tt12376346,4,1
tt12376346,1,2
tt12376346,7,3
tt12384390,1,1
tt12392450,25,1
tt12400630,16,1
tt1240882,4,1
tt1240882,16,2
tt1240882,26,3
tt12417492,8,1
tt12417492,5,2
tt12425764,10,1
tt1243434,4,1
tt1243434,16,2
tt12443114,4,1
tt12443114,14,2
tt12443114,8,3
tt1245168,3,1
tt1245168,4,2
tt1245168,8,3
tt12460296,8,1
tt12468462,8,1
tt12468462,5,2
tt12476336,4,1
tt12484854,8,1
tt12493232,8,1
tt12501602,8,1
tt12510392,8,1
tt1251904,16,1
tt12527636,8,1
tt1253631,4,1
tt12545866,5,1
tt12554526,25,1
tt12563424,4,1
tt12563424,16,2
tt12563424,27,3
